neighborhood,property_type,accommodates,bathrooms,bedrooms,price,cleaning_fee,rating,superhost,response_time,latitude,longitude
Dupont Circle,Apartment,3,1.0,1,125,150,99.0,No,within an hour,38.91816,-77.03716999999997
Columbia Heights,Townhouse,4,2.5,2,350,100,100.0,No,,38.92229,-77.02968
Columbia Heights,Apartment,2,1.0,0,99,53,87.0,No,within an hour,38.93061,-77.04384
Union Station,House,2,1.0,1,119,30,98.0,Yes,within an hour,38.90495,-77.00131
Union Station,House,2,1.5,1,99,85,97.0,Yes,within an hour,38.89259000000001,-76.99799
Brightwood Park,House,2,1.0,1,60,25,94.0,No,,38.95939,-77.03786
Edgewood,Apartment,2,1.0,1,40,60,93.0,No,,38.92039000000001,-77.00055
Edgewood,Condominium,2,1.5,1,125,89,79.0,No,within an hour,38.92515,-77.00341
Shaw,Condominium,4,1.0,1,475,100,100.0,No,,38.91142,-77.03301
Dupont Circle,Townhouse,1,2.5,1,70,70,94.0,No,within an hour,38.91435,-77.04064
Edgewood,House,4,1.5,3,155,50,89.0,No,,38.91863,-77.00287
Kalorama Heights,Condominium,3,1.0,2,96,100,95.0,No,within a day,38.91989,-77.038
Dupont Circle,Apartment,2,1.0,1,105,55,89.0,No,within an hour,38.91042,-77.03766999999998
Capitol Hill,House,2,2.0,1,85,50,98.0,Yes,within a day,38.88322,-76.98912
Brightwood Park,House,6,1.5,3,150,0,98.0,No,,38.94815,-77.0233
Capitol Hill,Townhouse,8,2.0,5,275,100,93.0,No,,38.88501,-77.00166999999998
Columbia Heights,Apartment,3,1.0,0,115,25,96.0,No,,38.93171,-77.03754
Columbia Heights,House,6,2.0,3,345,150,,No,within a day,38.93536,-77.04456
Dupont Circle,Apartment,2,1.0,0,175,50,92.0,No,within a day,38.90855,-77.04033000000003
Brightwood Park,Townhouse,3,1.5,1,75,50,100.0,No,within an hour,38.94563,-77.01805
Brightwood Park,Townhouse,8,3.5,4,75,130,100.0,No,within an hour,38.94424,-77.01906
Columbia Heights,Apartment,5,2.0,2,205,100,96.0,Yes,within an hour,38.92715,-77.03404
Edgewood,Apartment,3,1.0,1,122,25,87.0,No,within an hour,38.91188,-77.01024
Union Station,Apartment,5,1.0,1,145,75,93.0,No,within an hour,38.90121,-77.00048000000002
Shaw,Apartment,3,1.0,1,139,95,95.0,Yes,within an hour,38.90975,-77.03224
Columbia Heights,Apartment,4,1.0,1,133,49,99.0,Yes,within an hour,38.93345,-77.02832
Edgewood,Townhouse,6,1.5,3,175,150,98.0,No,,38.9104,-77.01417
Union Station,House,8,2.5,4,285,125,100.0,No,,38.8933,-76.99186999999998
Brightwood Park,Apartment,3,1.0,1,99,45,99.0,Yes,within an hour,38.93887,-77.01971999999998
Kalorama Heights,Apartment,6,2.5,2,199,85,99.0,No,within an hour,38.92402,-77.03943000000002
Dupont Circle,Apartment,2,1.0,1,149,49,98.0,Yes,within an hour,38.91391,-77.04141
Brightwood Park,Apartment,2,1.0,1,78,0,80.0,No,,38.93835,-77.0259
Columbia Heights,Apartment,1,1.0,1,36,100,90.0,No,within a few hours,38.93218,-77.02185
Union Station,House,4,1.0,1,150,0,98.0,Yes,within an hour,38.90501,-76.99994000000002
Edgewood,Apartment,2,1.0,1,95,40,97.0,Yes,within a day,38.93122,-76.99441
Capitol Hill,Apartment,2,1.0,0,100,20,80.0,No,,38.88264,-76.9911
Capitol Hill,Townhouse,1,1.0,1,85,0,100.0,Yes,within a few hours,38.88319,-76.97811999999998
Capitol Hill,Apartment,2,1.0,0,90,0,92.0,No,,38.88973,-76.99329
Edgewood,Condominium,2,1.0,1,73,50,95.0,Yes,within an hour,38.91642,-77.01281
Shaw,Condominium,4,2.0,2,250,65,98.0,No,within an hour,38.90886,-77.03281
Kalorama Heights,Apartment,2,1.5,1,150,0,,No,,38.92075,-77.04265
Union Station,House,6,1.5,3,150,150,97.0,No,,38.89786,-76.98635999999998
Union Station,House,2,1.0,1,195,35,100.0,No,,38.89714,-77.00004
